file_name,chunk_id,text
"Bharatiya Sakshya Adhiniyam, 2023.pdf",27,". 10. In suits in which damages are claimed, any fact which will enable the Court to determine the amount of damages which ought to be awarded, is relevant. 11. Where the question is as to the existence of any right or custom, the following facts are relevant— (a) any transaction by which the right or custom in question was created, claimed, modified, recognised, asserted or denied, or which was inconsistent with its existence; (b) particular instances in which the right or custom was claimed, recognised or exercised, or in which its exercise was disputed, asserted or departed from. Illustration. The question is, whether A has a right to a fishery. A deed conferring the fishery on A's ancestors, a mortgage of the fishery by A's father, a subsequent grant of the fishery by A's father, irreconcilable with the mortgage, particular instances in whichA's father exercised the right, or in which the exercise of the right was stopped by A's neighbours, are relevant facts. 12"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",28,". 12. Facts showing the existence of any state of mind, such as intention, knowledge, good faith, negligence, rashness, ill-will or goodwill towards any particular person, or showing the existence of any state of body or bodily feeling, are relevant, when the existence of any such state of mind or body or bodily feeling is in issue or relevant. Explanation 1.—A fact relevant as showing the existence of a relevant state of mind must show that the state of mind exists, not generally, but in reference to the particular matter in question. Explanation 2.—But where, upon the trial of a person accused of an offence, the previous commission by the accused of an offence is relevant within the meaning of this section, the previous conviction of such person shall also be a relevant fact. When facts not otherwise relevant become relevant. Facts tending to enable Court to determine amount are relevant in suits for damages. Facts relevant when right or custom is in question"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",29,". Facts relevant when right or custom is in question. Facts showing existence of state of mind, or of body or bodily feeling. Sec. 1] THE GAZETTE OF INDIA EXTRAORDINARY 7 _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ Illustrations. (a)Ais accused of receiving stolen goods knowing them to be stolen. It is proved that he was in possession of a particular stolen article. The fact that, at the same time, he was in possession of many other stolen articles is relevant, as tending to show that he knew each and all of the articles of which he was in possession to be stolen"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",30,". (b) A is accused of fraudulently delivering to another person a counterfeit currency which, at the time when he delivered it, he knew to be counterfeit. The fact that, at the time of its delivery, A was possessed of a number of other pieces of counterfeit currency is relevant. The fact that A had been previously convicted of delivering to another person as genuine a counterfeit currency knowing it to be counterfeit is relevant. (c)Asues B for damage done by a dog of B's, which B knew to be ferocious. The fact that the dog had previously bitten X, Y and Z, and that they had made complaints to B, are relevant. (d) The question is, whetherA, the acceptor of a bill of exchange, knew that the name of the payee was fictitious. The fact that A had accepted other bills drawn in the same manner before they could have been transmitted to him by the payee if the payee had been a real person, is relevant, as showing that A knew that the payee was a fictitious person"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",31,". (e) A is accused of defaming B by publishing an imputation intended to harm the reputation of B. The fact of previous publications byArespecting B, showing ill-will on the part of A towards B is relevant, as proving A's intention to harm B's reputation by the particular publication in question. The facts that there was no previous quarrel between A and B, and thatArepeated the matter complained of as he heard it, are relevant, as showing that A did not intend to harm the reputation of B. (f) A is sued by B for fraudulently representing to B that C was solvent, whereby B, being induced to trust C, who was insolvent, suffered loss. The fact that, at the time when A represented C to be solvent, C was supposed to be solvent by his neighbours and by persons dealing with him, is relevant, as showing that A made the representation in good faith. (g) A is sued by B for the price of work done by B, upon a house of which A is owner, by the order of C, a contractor"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",32,". A's defence is that B's contract was with C. The fact that A paid C for the work in question is relevant, as proving thatAdid, in good faith, make over to C the management of the work in question, so that C was in a position to contract with B on C's own account, and not as agent for A. (h) A is accused of the dishonest misappropriation of property which he had found, and the question is whether, when he appropriated it, he believed in good faith that the real owner could not be found. The fact that public notice of the loss of the property had been given in the place where A was, is relevant, as showing that A did not in good faith believe that the real owner of the property could not be found. The fact that A knew, or had reason to believe, that the notice was given fraudulently by C, who had heard of the loss of the property and wished to set up a false claim to it, is relevant, as showing that the fact that A knew of the notice did not disprove A's good faith"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",33,". (i)A is charged with shooting at B with intent to kill him. In order to show A's intent, the fact of A's having previously shot at B may be proved. (j) A is charged with sending threatening letters to B. Threatening letters previously sent by A to B may be proved, as showing the intention of the letters. (k) The question is, whether A has been guilty of cruelty towards B, his wife. Expressions of their feeling towards each other shortly before or after the alleged cruelty are relevant facts. (l) The question is, whether A's death was caused by poison. Statements made by A during his illness as to his symptoms are relevant facts"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",34,". Statements made by A during his illness as to his symptoms are relevant facts. 8 THE GAZETTE OF INDIA EXTRAORDINARY [Part II— _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ (m) The question is, what was the state ofA's health at the time when an assurance on his life was effected. Statements made byAas to the state of his health at or near the time in question are relevant facts. (n) A sues B for negligence in providing him with a car for hire not reasonably fit for use, wherebyAwas injured. The fact that B's attention was drawn on other occasions to the defect of that particular car is relevant"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",35,". The fact that B was habitually negligent about the cars which he let to hire is irrelevant. (o)Ais tried for the murder of B by intentionally shooting him dead.The fact thatAon other occasions shot at B is relevant as showing his intention to shoot B. The fact that A was in the habit of shooting at people with intent to murder them is irrelevant. (p) A is tried for a crime. The fact that he said something indicating an intention to commit that particular crime is relevant. The fact that he said something indicating a general disposition to commit crimes of that class is irrelevant. 13. When there is a question whether an act was accidental or intentional, or done with a particular knowledge or intention, the fact that such act formed part of a series of similar occurrences, in each of which the person doing the act was concerned, is relevant. Illustrations. (a) A is accused of burning down his house in order to obtain money for which it is insured"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",36,". (a) A is accused of burning down his house in order to obtain money for which it is insured. The facts that A lived in several houses successively each of which he insured, in each of which a fire occurred, and after each of which fires A received payment from a different insurance company, are relevant, as tending to show that the fires were not accidental. (b)Ais employed to receive money from the debtors of B. It isA's duty to make entries in a book showing the amounts received by him. He makes an entry showing that on a particular occasion he received less than he really did receive. The question is, whether this false entry was accidental or intentional. The facts that other entries made by A in the same book are false, and that the false entry is in each case in favour of A, are relevant. (c) A is accused of fraudulently delivering to B a counterfeit currency. The question is, whether the delivery of the currency was accidental"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",37,". The question is, whether the delivery of the currency was accidental. The facts that, soon before or soon after the delivery to B, A delivered counterfeit currency to C, D and E are relevant, as showing that the delivery to B was not accidental. 14. When there is a question whether a particular act was done, the existence of any course of business, according to which it naturally would have been done, is a relevant fact. Illustrations. (a) The question is, whether a particular letter was dispatched. The facts that it was the ordinary course of business for all letters put in a certain place to be carried to the post, and that particular letter was put in that place are relevant. (b) The question is, whether a particular letter reached A. The facts that it was posted in due course, and was not returned through the Return Letter Office, are relevant. Admissions 15"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",38,". Admissions 15. An admission is a statement, oral or documentary or contained in electronic form, which suggests any inference as to any fact in issue or relevant fact, and which is made by any of the persons, and under the circumstances, hereinafter mentioned. 16. (1) Statements made by a party to the proceeding, or by an agent to any such party, whom the Court regards, under the circumstances of the case, as expressly or impliedly authorised by him to make them, are admissions. Facts bearing on question whether act was accidental or intentional. Existence of course of business when relevant. Admission defined. Admission by party to proceeding or his agent. Sec"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",39,". Sec. 1] THE GAZETTE OF INDIA EXTRAORDINARY 9 _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ (2) Statements made by— (i) parties to suits suing or sued in a representative character, are not admissions, unless they were made while the party making them held that character; or (ii) (a) persons who have any proprietary or pecuniary interest in the subject matter of the proceeding, and who make the statement in their character of persons so interested; or (b) persons from whom the parties to the suit have derived their interest in the subject matter of the suit, are admissions, if they are made during the continuance of the interest of the persons making the statements. 17"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",40,". 17. Statements made by persons whose position or liability, it is necessary to prove as against any party to the suit, are admissions, if such statements would be relevant as against such persons in relation to such position or liability in a suit brought by or against them, and if they are made whilst the person making them occupies such position or is subject to such liability. Illustration. Aundertakes to collect rents for B. B suesAfor not collecting rent due from C to B.A denies that rent was due from C to B.Astatement by C that he owed B rent is an admission, and is a relevant fact as against A, if A denies that C did owe rent to B. 18. Statements made by persons to whom a party to the suit has expressly referred for information in reference to a matter in dispute are admissions. Illustration. The question is, whether a horse sold by A to B is sound. A says to B—""Go and ask C, C knows all about it"". C's statement is an admission. 19"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",41,". A says to B—""Go and ask C, C knows all about it"". C's statement is an admission. 19. Admissions are relevant and may be proved as against the person who makes them, or his representative in interest; but they cannot be proved by or on behalf of the person who makes them or by his representative in interest, except in the following cases, namely:— (1) an admission may be proved by or on behalf of the person making it, when it is of such a nature that, if the person making it were dead, it would be relevant as between third persons under section 26; (2) an admission may be proved by or on behalf of the person making it, when it consists of a statement of the existence of any state of mind or body, relevant or in issue, made at or about the time when such state of mind or body existed, and is accompanied by conduct rendering its falsehood improbable; (3) an admission may be proved by or on behalf of the person making it, if it is relevant otherwise than as an admission. Illustrations"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",42,". Illustrations. (a) The question between A and B is, whether a certain deed is or is not forged. A affirms that it is genuine, B that it is forged. A may prove a statement by B that the deed is genuine, and B may prove a statement by A that deed is forged; but A cannot prove a statement by himself that the deed is genuine, nor can B prove a statement by himself that the deed is forged. (b) A, the captain of a ship, is tried for casting her away. Evidence is given to show that the ship was taken out of her proper course. A produces a book kept by him in the ordinary course of his business showing observations alleged to have been taken by him Admissions by persons whose position must be proved as against party to suit. Admissions by persons expressly referred to by party to suit. Proof of admissions against persons making them, and by or on their behalf"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",43,". Proof of admissions against persons making them, and by or on their behalf. 10 THE GAZETTE OF INDIA EXTRAORDINARY [Part II— _________________________________________________________ _________________________________________________________ _________________________________________________________ _______________________________________________________________ ___________________________________________________________ __________________________________________________________ from day to day, and indicating that the ship was not taken out of her proper course. A may prove these statements, because they would be admissible between third parties, if he were dead, under clause (b) of section 26. (c)Ais accused of a crime committed by him at Kolkata. He produces a letter written by himself and dated at Chennai on that day, and bearing the Chennai post-mark of that day"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",44,". The statement in the date of the letter is admissible, because, if A were dead, it would be admissible under clause (b) of section 26. (d) A is accused of receiving stolen goods knowing them to be stolen. He offers to prove that he refused to sell them below their value.A may prove these statements, though they are admissions, because they are explanatory of conduct influenced by facts in issue. (e) A is accused of fraudulently having in his possession counterfeit currency which he knew to be counterfeit. He offers to prove that he asked a skilful person to examine the currency as he doubted whether it was counterfeit or not, and that person did examine it and told him it was genuine. A may prove these facts. 20"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",45,". A may prove these facts. 20. Oral admissions as to the contents of a document are not relevant, unless and until the party proposing to prove them shows that he is entitled to give secondary evidence of the contents of such document under the rules hereinafter contained, or unless the genuineness of a document produced is in question. 21. In civil cases no admission is relevant, if it is made either upon an express condition that evidence of it is not to be given, or under circumstances from which the Court can infer that the parties agreed together that evidence of it should not be given. Explanation.—Nothing in this section shall be taken to exempt any advocate from giving evidence of any matter of which he may be compelled to give evidence under sub-sections (1) and (2) of section 132. 22"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",46,". A confession made by an accused person is irrelevant in a criminal proceeding, if the making of the confession appears to the Court to have been caused by any inducement, threat, coercion or promise having reference to the charge against the accused person, proceeding from a person in authority and sufficient, in the opinion of the Court, to give the accused person grounds which would appear to him reasonable for supposing that by making it he would gain any advantage or avoid any evil of a temporal nature in reference to the proceedings against him: Provided that if the confession is made after the impression caused by any such inducement, threat, coercion or promise has, in the opinion of the Court, been fully removed, it is relevant: Provided further that if such a confession is otherwise relevant, it does not become irrelevant merely because it was made under a promise of secrecy, or in consequence of a deception practised on the accused person for the purpose of obtaining it, or"
"Bharatiya Sakshya Adhiniyam, 2023.pdf",47,"in consequence of a deception practised on the accused person for the purpose of obtaining it, or when he was drunk, or because it was made in answer to questions which he need not have answered, whatever may have been the form of those questions, or because he was not warned that he was not bound to make such confession, and that evidence of it might be given against him"
